,text,k,size,1_opt,2_opt,3_opt,4_opt,5+_opt
0,quotes,1,794,497,121,60,27,89
1,quotes,2,2222,1887,210,50,22,53
2,quotes,3,2770,2614,117,22,4,13
3,quotes,4,2922,2836,78,5,0,3
4,quotes,5,2979,2926,52,0,0,1
5,kjv,1,12570,3944,1733,976,618,5299
6,kjv,2,141348,80610,21466,10016,5866,23390
7,kjv,3,407249,301591,51219,18759,9834,25846
8,kjv,4,642741,546577,57338,16570,7440,14816
9,kjv,5,772378,704049,46699,10506,4220,6904
10,rv,1,3150,1671,487,212,123,657
11,rv,2,14588,10593,1812,726,394,1063
12,rv,3,25590,22381,1943,578,240,448
13,rv,4,30313,28730,1174,249,73,87
14,rv,5,31768,31059,579,89,19,22
